Lema	Clase	Frecuencia	Frec. norm.	Frec. norm.
		general	con signos punt.	sin signos punt.
calle	N	103948	262.184	301.115
sentar	V	103867	261.979	300.881
cabeza	N	103505	261.066	299.832
nosotros	L	103204	260.307	298.96
ofrecer	V	103157	260.189	298.824
puerta	N	102908	259.561	298.103
política	N	102834	259.374	297.888
realidad	N	102573	258.716	297.132
acabar	V	102539	258.63	297.034
tanto	Q	102287	257.994	296.304
jugar	V	102028	257.341	295.553
escuchar	V	101880	256.968	295.125
incluso	R	101871	256.945	295.099
cambiar	V	101259	255.401	293.326
acción	N	101179	255.2	293.094
decidir	V	100967	254.665	292.48
necesitar	V	99902	251.979	289.395
ayer	R	99896	251.964	289.377
sentido	N	99881	251.926	289.334
voz	N	99525	251.028	288.303
valor	N	99391	250.69	287.915
producto	N	99306	250.475	287.668
aparecer	V	99302	250.465	287.657
juego	N	98959	249.6	286.663
pueblo	N	98881	249.403	286.437
cuyo	H	98828	249.27	286.284
español	A	98815	249.237	286.246
ya que	C	98691	248.924	285.887
fuerza	N	98504	248.453	285.345
resultar	V	98308	247.958	284.777
condición	N	98287	247.905	284.717
tú	L	98219	247.734	284.52
mercado	N	97913	246.962	283.633
ahí	R	97214	245.199	281.608
necesario	A	97022	244.715	281.052
caer	V	96902	244.412	280.704
verdad	N	96662	243.807	280.009
director	N	96481	243.35	279.485
bajo	P	96431	243.224	279.34
sacar	V	96368	243.065	279.158
distinto	A	96334	242.979	279.059
claro	A	96234	242.727	278.769
frente a	P	96042	242.243	278.213
población	N	95933	241.968	277.898
medida	N	95318	240.417	276.116
poder	N	95199	240.117	275.771
muerte	N	94961	239.516	275.082
desarrollar	V	94854	239.246	274.772
cinco	M	94853	239.244	274.769
minuto	N	94172	237.526	272.796
ambos	Q	93801	236.59	271.722
establecer	V	93535	235.919	270.951
conseguir	V	93382	235.534	270.508
hermano	N	92713	233.846	268.57
luz	N	92657	233.705	268.408
tierra	N	92611	233.589	268.274
recurso	N	92154	232.436	266.951
leer	V	92059	232.197	266.675
efecto	N	91874	231.73	266.139
seguridad	N	91715	231.329	265.679
imagen	N	91517	230.83	265.105
reconocer	V	90966	229.44	263.509
próximo	A	90880	229.223	263.26
uso	N	90445	228.126	262.0
comunidad	N	90387	227.979	261.832
señor	N	89560	225.894	259.436
dato	N	89170	224.91	258.307
intentar	V	88771	223.903	257.151
formar	V	88614	223.507	256.696
organización	N	88505	223.233	256.38
alcanzar	V	88214	222.499	255.537
servir	V	87992	221.939	254.894
cierto	Q	87820	221.505	254.396
tal	D	87484	220.657	253.423
universidad	N	87413	220.478	253.217
indicar	V	87348	220.314	253.029
poco	N	87320	220.244	252.947
principio	N	87110	219.714	252.339
ayudar	V	87044	219.548	252.148
razón	N	86934	219.27	251.829
objetivo	N	86382	217.878	250.23
todavía	R	86255	217.557	249.862
cumplir	V	86103	217.174	249.422
Estados Unidos	K	86019	216.962	249.179
dirigir	V	85492	215.633	247.652
educación	N	85356	215.29	247.258
siguiente	A	85307	215.166	247.116
a partir de	P	85295	215.136	247.081
siglo	N	85199	214.894	246.803
quién	W	83872	211.547	242.959
joven	N	83516	210.649	241.928
poco	R	83500	210.609	241.882
posibilidad	N	83365	210.268	241.491
usar	V	83172	209.781	240.932
obtener	V	83015	209.385	240.477
necesidad	N	82767	208.76	239.758
interés	N	82603	208.346	239.283
observar	V	82356	207.723	238.568
fondo	N	82330	207.658	238.493
área	N	82084	207.037	237.78
producción	N	82031	206.903	237.626
responder	V	81567	205.733	236.282
atención	N	81328	205.13	235.59
camino	N	80896	204.041	234.339
generar	V	80482	202.996	233.139
decisión	N	80461	202.943	233.078
pasado	A	80338	202.633	232.722
evitar	V	79654	200.908	230.741
papel	N	79611	200.8	230.616
plan	N	79549	200.643	230.437
anterior	A	79470	200.444	230.208
solo	A	79241	199.866	229.544
cultura	N	78914	199.042	228.597
especie	N	78837	198.847	228.374
mayoría	N	78372	197.674	227.027
malo	A	78202	197.246	226.535
caso de	P	78058	196.882	226.117
enfermedad	N	77954	196.62	225.816
música	N	77662	195.884	224.97
experiencia	N	77647	195.846	224.927
México	K	77645	195.841	224.921
policía	N	77622	195.783	224.854
afirmar	V	77520	195.526	224.559
cerrar	V	76744	193.568	222.311
